7zip 25.01-1
a52dec 0.8.0-2
aalib 1.4rc5-19
abseil-cpp 20250814.1-1
accounts-qml-module 0.7-6
acl 2.3.2-1
ada 3.3.0-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adw-gtk-theme-git 6.4.r2.gbe28895-1
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
allegro 5.2.11.2-1
alsa-card-profiles 1:1.4.9-2
alsa-lib 1.2.15.1-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.1-1
android-udev 20250525-1
ani-cli 4.10-1
aom 3.13.1-2
app2unit-git 1.2.1.r0.g83e2656-1
apple-fonts 7.0.3-1
appmenu-glib-translator-git 25.04.r8.gaea4ea3-1
appstream 1.1.1-1
aquamarine 0.10.0-2
arch-install-scripts 31-1
archlinux-keyring 20260107-1
aria2 1.37.0-2
at-spi2-core 2.58.2-1
atkmm 2.28.4-1
attica 6.21.0-1
attr 2.5.2-1
aubio 0.4.9-23
audit 4.1.2-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc2-1
ayatana-ido 0.10.4-1
babl 0.1.118-1
base 3-2
base-devel 1-2
bash 5.3.9-1
bash-completion 2.17.0-2
bat 0.26.1-1
bc 1.08.2-1
betterdiscord-git 1.13.4.r0.g14a39968-1
bibata-cursor-theme 2.0.7-1.1
binutils 2.45.1-1
bison 3.8.2-8
blas 3.12.1-2
blueman 2.4.6-1
bluez 5.85-1
bluez-libs 5.85-1
bluez-obex 5.85-1
bluez-utils 5.85-1
boost 1.89.0-4
boost-libs 1.89.0-3
brave-bin 1:1.85.120-1
breeze-icons 6.21.0-1
brightnessctl 0.5.1-3
brotli 1.1.0-3
btop 1.4.6-1
bubblewrap 0.11.0-1
bun 1.3.5-2
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.119.1-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-2
cava 0.10.6-1
cblas 3.12.1-2
cdparanoia 10.2-9
cfitsio 1:4.6.3-1
chafa 1.16.2-1
chaotic-keyring 20251028-1
chaotic-mirrorlist 20251111-1
chromaprint 1.6.0-2
chromium 143.0.7499.192-1
chwd 1.17.1-1
cinnamon-desktop 6.6.1-2
clang 21.1.6-1
cli11 2.6.1-1
cliphist 1:0.7.0-1
clipnotify 1.0.2-3
cmake 4.2.1-1
colloid-icon-theme-git 2025.07.19.r0.gb7c1f67-1
colord 1.4.8-1
compiler-rt 21.1.6-1
composefs 1.0.8-1
containerd 2.2.1-1
convertlit 1.8-13
coreutils 9.9-1
cpio 2.15-3
cppdap 1.58.0-2
cracklib 2.10.3-1
cryptsetup 2.8.3-1
curl 8.17.0-2
darkly-bin-debug 0.5.30-1
dart-sass 1.97.2-1
dav1d 1.5.3-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-glib 0.114-1
dbus-units 37-2
dconf 0.49.0-1
ddcutil 2.2.3-1
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.38-1
diffutils 3.12-2
discord 1:0.0.122-1
docbook-xml 4.5-11
docbook-xsl 1.79.2-9
docker 1:29.1.3-1
double-conversion 3.4.0-1
downgrade 11.5.5-1
duktape 2.7.0-7
dumb 2.0.3-4
dunst 1.13.0-1
e2fsprogs 1.47.3-2
earlyoom 1.9.0-1
ebook-tools 0.2.2-9
electron 1:39-1
electron12-bin 12.2.3-3
electron12-bin-debug 12.2.3-3
electron37 37.5.1-1
electron38 38.7.2-1
electron39 39.2.7-1
elementary-icon-theme 8.2.0-1
enchant 2.8.14-1
exempi 2.6.6-2
exiv2 0.28.7-1
exo 4.20.0-2
expat 2.7.3-1
extra-cmake-modules 6.21.0-1
eza 0.23.4-1
faad2 2.11.2-1
fabric-cli-git 0.0.2-1
